"region","depot","item_no","tms","ams","month","year"
"SW","ABEOKUTA","RSF20HLK",30.5358666666667,15.2679333333333,4,2022
"SW","ABEOKUTA","RSF20HLK",29.0305161290323,14.5152580645161,5,2022
"SW","ABEOKUTA","RSF20HLK",21.1668666666667,10.5834333333333,6,2022
"SW","ABEOKUTA","RSF20HLK",9.35838709677419,4.6791935483871,7,2022
"SW","ABEOKUTA","RSF20HLK",11.0038709677419,5.50193548387097,8,2022
"SW","ABEOKUTA","RSF20HLK",25.7753333333333,12.8876666666667,9,2022
"SW","ABEOKUTA","RSF20HLK",20.5465161290323,10.2732580645161,10,2022
"SW","ABEOKUTA","RSF20HLK",5.60333333333333,2.80166666666667,11,2022
"SW","ABEOKUTA","RSF20HLK",5.49466666666667,2.74733333333333,12,2022
"SW","ABEOKUTA","TB00004",0,0,1,2022
"SW","ABEOKUTA","TB00004",0,0,2,2022
"SW","ABEOKUTA","TB00004",0,0,3,2022
"SW","ABEOKUTA","TB00004",0,0,4,2022
"SW","ABEOKUTA","TB00004",0,0,5,2022
"SW","ABEOKUTA","TB00004",0,0,6,2022
"SW","ABEOKUTA","TB00004",0,0,7,2022
"SW","ABEOKUTA","TB00004",0,0,8,2022
"SW","ABEOKUTA","TB00004",0,0,9,2022
"SW","ABEOKUTA","TB00004",0,0,10,2022
"SW","ABEOKUTA","TB00004",0,0,11,2022
"SW","ABEOKUTA","TB00004",0,0,12,2022
"SW","ADO EKITI","10040447",27.328,13.664,1,2022
"SW","ADO EKITI","10040447",18.8102857142857,9.40514285714286,2,2022
"SW","ADO EKITI","10040447",6.87651612903226,3.43825806451613,3,2022
"SW","ADO EKITI","10040447",41.4934,20.7467,4,2022
"SW","ADO EKITI","10040447",90.4563225806451,45.2281612903226,5,2022
"SW","ADO EKITI","10040447",78.0731333333333,39.0365666666667,6,2022
"SW","ADO EKITI","10040447",86.6912258064516,43.3456129032258,7,2022
"SW","ADO EKITI","10040447",97.787935483871,48.8939677419355,8,2022
"SW","ADO EKITI","10040447",100.2194,50.1097,9,2022
"SW","ADO EKITI","10040447",68.4282580645161,34.2141290322581,10,2022
"SW","ADO EKITI","10040447",0.374333333333333,0.187166666666667,11,2022
"SW","ADO EKITI","10040447",0.646952380952381,0.32347619047619,12,2022
"SW","ADO EKITI","10047371",0,0,1,2022
"SW","ADO EKITI","10047371",0,0,2,2022
"SW","ADO EKITI","10047371",0,0,3,2022
"SW","ADO EKITI","10047371",0,0,4,2022
"SW","ADO EKITI","10047371",0,0,5,2022
"SW","ADO EKITI","10047371",0,0,6,2022
"SW","ADO EKITI","10047371",0,0,7,2022
"SW","ADO EKITI","10047371",0,0,8,2022
"SW","ADO EKITI","10047371",0,0,9,2022
"SW","ADO EKITI","10047371",0,0,10,2022
"SW","ADO EKITI","10047371",0,0,11,2022
"SW","ADO EKITI","10047371",0,0,12,2022
"SW","ADO EKITI","10056877",4.6122,2.3061,1,2022
"SW","ADO EKITI","10056877",5.081,2.5405,2,2022
"SW","ADO EKITI","10056877",13.9322580645161,6.96612903225806,3,2022
"SW","ADO EKITI","10056877",17.4349333333333,8.71746666666667,4,2022
"SW","ADO EKITI","10056877",13.5964516129032,6.79822580645161,5,2022
"SW","ADO EKITI","10056877",34.8914666666667,17.4457333333333,6,2022
"SW","ADO EKITI","10056877",45.9572258064516,22.9786129032258,7,2022
"SW","ADO EKITI","10056877",28.591935483871,14.2959677419355,8,2022
"SW","ADO EKITI","10056877",29.0188,14.5094,9,2022
